id,title,author,content,dynasty
1,断章,卞之琳,你站在桥上看风景，看风景人在楼上看你。明月装饰了你的窗子，你装饰了别人的梦。,当代
2,寄行人,鲍令晖,桂吐两三枝，兰开四五叶。是时君不归，春风徒笑妾。,六朝
3,拟客从远方来,鲍令晖,客从远方来，赠我漆鸣琴。木有相思文，弦有别离音。终身执此调，岁寒不改心。愿作阳春曲，宫商长相寻。,六朝
4,从庾中郎游园山石室诗,鲍照,荒途趣山楹，云崖隐灵室。冈涧纷萦抱，林障沓重密。昏昏磴路深，活活梁水疾。幽隅秉昼烛，地牖窥朝日。怪石似龙章，瑕璧丽锦质。洞庭安可穷，漏井终不溢。沈空绝景声，崩危坐惊栗。神化岂有方，妙象竟无述。至哉炼玉人，处此长自毕。,六朝
5,代陈思王白马篇,鲍照,白马骍角弓。鸣鞭乘北风。要途问边急。杂虏入云中。闭壁自往夏。清野径还冬。侨装多阙绝。旅服少裁缝。埋身守汉境。沈命对胡封。薄暮塞云起。飞沙被远松。含悲望两都。楚歌登四墉。丈夫设计误。怀恨逐边戎。弃别中国爱。要冀胡马功。去来今何道。卑贱生所钟。但令塞上儿。知我独为雄。,六朝
6,代出自蓟北门行,鲍照,羽檄起边亭，烽火入咸阳。征师屯广武，分兵救朔方。严秋筋竿劲，虏阵精且强。天子按剑怒，使者遥相望。雁行缘石径，鱼贯度飞梁。箫鼓流汉思，旌甲被胡霜。疾风冲塞起，沙砾自飘扬。马毛缩如蝟，角弓不可张。时危见臣节，世乱识忠良。投躯报明主，身死为国殇。,六朝
7,代陆平原君子有所思行,鲍照,西上登雀台。东下望云阙。层阁肃天居。驰道直如发。绣甍结飞霞。璇题纳行月。筑山拟蓬壶。穿池类溟渤。选色遍齐代。征声匝卭越。陈钟陪夕燕。笙歌待明发。年貌不可还。身意会盈歇。蚁壤漏山阿。丝泪毁金骨。器恶含满欹。物忌厚生没。智哉众多士。服理辨昭昧。,六朝
8,发后渚,鲍照,江上气早寒，仲秋始霜雪。从军乏衣粮，方冬与家别。萧条背乡心，凄怆清渚发。凉埃晦平皋，飞潮隐修樾。孤光独徘徊，空烟视升灭。途随前峰远，意逐后云结。华志分驰年，韶颜惨惊节。推琴三起叹，声为君断绝。,六朝
9,还都至三山望石头城诗,鲍照,泉源安首流。川末澄远波。晨光被水族。晓气歇林阿。两江皎平逈。三山郁骈罗。南帆望越峤。北榜指齐河。关扃绕天邑。襟带抱尊华。长城非壑崄。峻岨似荆芽。攒楼贯白日。摛堞隐丹霞。征夫喜观国。游子迟见家。流连入京引。踯躅望乡歌。弥前叹景促。逾近勌路多。偕萃犹如兹。弘易将谓何。,六朝
10,梅花落,鲍照,中庭多杂树，偏为梅咨嗟。问君何独然？念其霜中能作花，露中能作实。摇荡春风媚春日，念尔零落逐风飚，徒有霜华无霜质。,六朝
11,玩月城西门廨中,鲍照,始出西南楼，纤纤如玉钩。末映东北墀，娟娟似蛾眉。蛾眉蔽珠栊，玉钩隔琐窗。三五二八时，千里与君同。夜移衡汉落，徘徊帷户中。归华先委露，别叶早辞风。客游厌苦辛，仕子倦飘尘。休澣自公日，宴慰及私辰。蜀琴抽白雪，郢曲发阳春。肴干酒未阕，金壶启夕沦。回轩驻轻盖，留酌待情人。,六朝
12,七夕宴玄圃各赋五韵,陈叔宝,殿深炎气少，日落夜风清。月小看针暗，云开见缕明。丝调听鱼出，吹响间蝉声。度更银烛尽，陶暑玉卮盈。星津虽可望，讵得似人情。,六朝
13,同江仆射游摄山栖霞寺诗,陈叔宝,时宰磻溪心，非关狎竹林。鹫岳青松绕，鸡峰白日沈。天迥浮云细，山空明月深。摧残枯树影，零落古藤阴。霜村夜乌去，风路寒猿吟。自悲堪出俗，讵是欲抽簪。,六朝
14,献岁立春光风具美泛舟玄圃各赋六韵诗,陈叔宝,寒轻条已翠，春初未转禽。野雪明岩曲，山花照迥林。苔色随水溜，树影带风沈。沙长见水落，歌遥觉浦深。馀辉斜四户，流风飏八音。既此留连席，道欣放旷心。,六朝
15,玉树后庭花,陈叔宝,丽宇芳林对高阁，新妆艳质本倾城。映户凝娇乍不进，出帷含态笑相迎。妖姬脸似花含露，玉树流光照后庭。花开花落不长久，落红满地归寂中。,六朝
16,之零陵郡次新亭,范云,江干远树浮，天末孤烟起。江天自如合，烟树还相似。沧流未可源，高帆去何已。,六朝
17,从征诗,傅亮,息徒西楚，伫楫旧乡。止犹岳立，动则云翔。烈烈群师，星言启行。泛舟掩河，秣马登芒。,六朝
18,奉迎大驾道路赋诗,傅亮,夙棹发皇邑，有人祖我舟。饯离不以币，赠言重琳球。知止道攸贵，怀禄义所尤。四牡倦长路，君辔可以收。张邴结晨轨，疏董顿夕辀。东隅诚已谢，西景逝不留。性命安可图，怀此作前修。敷衽铭笃诲，引带佩嘉谋。迷宠非予志，厚德良未酬。抚躬愧疲朽，三省惭爵浮。重明照蓬艾，万品同率由。忠诰岂假知，式微发直讴。,六朝
19,为颜氏赋诗,韩兰英,丝竹犹在御，愁人独向隅。弃置将已矣，谁怜微薄驱。,六朝
20,酬范记室云,何逊,林密户稍阴，草滋阶欲暗。风光蕊上轻，日色花中乱。相思不独欢，伫立空为叹。清谈莫共理，繁文徒可玩。高唱子自轻，继音予可惮。,六朝
21,慈姥矶,何逊,暮烟起遥岸，斜日照安流。一同心赏夕，暂解去乡忧。野岸平沙合，连山远雾浮。客悲不自已，江上望归舟。,六朝
22,临行与故游夜别,何逊,历稔共追随，一旦辞群匹。复如东注水，未有西归日。夜雨滴空阶，晓灯暗离室。相悲各罢酒，何时同促膝？,六朝
23,下方山,何逊,寒鸟树间响，落星川际浮。繁霜白晓岸，苦雾黑晨流。鳞鳞逆去水，弥弥急还舟。望乡行复立，瞻途近更修。谁能百里地，萦绕千端愁？,六朝
24,相送,何逊,客心已百念，孤游重千里。江暗雨欲来，浪白风初起。,六朝
